"Are you sure you wan't to restore this order from transaction ""${ $.$data.transaction_id }""?","Are you sure you wan't to restore this order from transaction ""${ $.$data.transaction_id }""?"
"View order","View order"
"Delete transaction","Delete transaction"
"Are you sure you wan't to delete this transaction ""${ $.$data.transaction_id }""?","Are you sure you wan't to delete this transaction ""${ $.$data.transaction_id }""?"
"Credit Card Holder Name","Credit Card Holder Name"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Profile Information","Profile Information"
"Recurring Detail","Recurring Detail"
Status,Status
Frequency,Frequency
"Total Cycles","Total Cycles"
"Ongoing Subscription","Ongoing Subscription"
"Remaining Cycles","Remaining Cycles"
Ongoing,Ongoing
"Start Date","Start Date"
"Last Billed Date","Last Billed Date"
"Next Billing Date","Next Billing Date"
"Order Detail","Order Detail"
"Order ID","Order ID"
"Grand Total","Grand Total"
"Product Name","Product Name"
"Customer Name","Customer Name"
Action,Action
"Subsequent Orders","Subsequent Orders"
"Failed Payment","Failed Payment"
"Submit a ticket","Submit a ticket"
support@magenest.com,support@magenest.com
"Add after","Add after"
"Billing Cycle","Billing Cycle"
"Recurring Payment Stop After","Recurring Payment Stop After"
"Ongoing subscription","Ongoing subscription"
"You don't store any card yet.","You don't store any card yet."
"Credit Card","Credit Card"
Expires,Expires
"Created At","Created At"
"Are you sure you want to cancel this card?","Are you sure you want to cancel this card?"
"Cancel Profile","Cancel Profile"
"Cancel Subscription","Cancel Subscription"
"You don't have any subscription profile yet.","You don't have any subscription profile yet."
"Ref. Transaction ID","Ref. Transaction ID"
"Last 4","Last 4"
Amount,Amount
Actions,Actions
"View Order","View Order"
"Credit Card Information","Credit Card Information"
"Credit Card Holder","Credit Card Holder"
"What is this?","What is this?"
"Card Type","Card Type"
"Place Order","Place Order"
Cancel,Cancel
"Place order","Place order"
"Transaction info","Transaction info"
Close,Close
"Error, please try again","Error, please try again"
"SagePay Payment Gateway","SagePay Payment Gateway"
"SagePay Global Config","SagePay Global Config"
"Vendor Name","Vendor Name"
User,User
Password,Password
Mode,Mode
"Ignore address check","Ignore address check"
"Server domain (Test Mode)","Server domain (Test Mode)"
"Server domain (Live Mode)","Server domain (Live Mode)"
"Form Encryption Password (Test Mode)","Form Encryption Password (Test Mode)"
"Form Encryption Password (Live Mode)","Form Encryption Password (Live Mode)"
"Apply 3D Secure","Apply 3D Secure"
"Apply AVS CVC Check","Apply AVS CVC Check"
"Allow Gift Aid","Allow Gift Aid"
"Collect Recipient Details","Collect Recipient Details"
"Send transaction email","Send transaction email"
"Vendor email","Vendor email"
"Payment language","Payment language"
"Payment Surcharge Fee","Payment Surcharge Fee"
"SagePay PI Integration","SagePay PI Integration"
Enabled,Enabled
Title,Title
"PI Integration Key","PI Integration Key"
"PI Integration Password","PI Integration Password"
"Enabled MOTO","Enabled MOTO"
"Use drop-in Interface","Use drop-in Interface"
"Drop-in Display","Drop-in Display"
"Save Customer CreditCard Token","Save Customer CreditCard Token"
"Payment Action","Payment Action"
"New Order Status","New Order Status"
"Credit Card Types","Credit Card Types"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
Instructions,Instructions
"Sort Order","Sort Order"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"SagePay Form Integration/Paypal","SagePay Form Integration/Paypal"
"SagePay Server Integration","SagePay Server Integration"
"Payment Profile","Payment Profile"
"SagePay Direct Integration","SagePay Direct Integration"
"SagePay Paypal","SagePay Paypal"
"Billing Agreement","Billing Agreement"
"Enable Subscription","Enable Subscription"
"Configure your subscription options for SagePay","Configure your subscription options for SagePay"
"Add Option","Add Option"
"New Option","New Option"
"Period Unit","Period Unit"
"Delete card","Delete card"
"Are you sure to delete the selected card(s)?","Are you sure to delete the selected card(s)?"
"Card Identifier","Card Identifier"
"Customer ID","Customer ID"
"Last 4 number","Last 4 number"
"Delete profile","Delete profile"
"Are you sure to delete the selected profile(s)?","Are you sure to delete the selected profile(s)?"
"Change status","Change status"
"Reference Transaction ID","Reference Transaction ID"
"First Order ID","First Order ID"
"Are you sure to delete the selected transaction(s)?","Are you sure to delete the selected transaction(s)?"
"Order Status","Order Status"
"Transaction ID","Transaction ID"
Type,Type
"3D Secure Status","3D Secure Status"
"Customer Id","Customer Id"
"Customer Email","Customer Email"
"View transaction","View transaction"
"SagePay Subscription Profiles","SagePay Subscription Profiles"
"SagePay Card Management","SagePay Card Management"
"My Saved Card Identifiers","My Saved Card Identifiers"
